cart_id,user_id,product_id,quantity,price,total_cart_value,first_name,age,city,name,category
1,33,168,3,32999.99,98999.97,Carter,31,Denver,Charger SXT RWD,vehicle
1,33,78,2,1999.99,3999.98,Carter,31,Denver,Apple MacBook Pro 14 Inch Space Grey,laptops
1,33,183,5,24.99,124.95,Carter,31,Denver,,
1,33,100,5,129.99,649.95,Carter,31,Denver,Apple Airpods,mobile-accessories
2,142,144,4,44.99,179.96,Aria,27,Phoenix,,
2,142,124,4,899.99,3599.96,Aria,27,Phoenix,iPhone X,smartphones
2,142,148,4,9.99,39.96,Aria,27,Phoenix,,
2,142,122,3,299.99,899.97,Aria,27,Phoenix,iPhone 6,smartphones
2,142,110,5,14.99,74.95,Aria,27,Phoenix,,
3,108,98,1,13999.99,13999.99,James,45,Washington,Rolex Submariner Watch,mens-watches
3,108,125,5,249.99,1249.95,James,45,Washington,Oppo A57,smartphones
3,108,55,2,6.99,13.98,James,45,Washington,,
3,108,62,2,5.99,11.98,James,45,Washington,,
3,108,132,3,499.99,1499.97,James,45,Washington,Samsung Galaxy S8,smartphones
4,87,187,5,49.99,249.95,Hunter,33,Charlotte,,
4,87,40,5,3.99,19.950000000000003,Hunter,33,Charlotte,,
4,87,156,5,34.99,174.95000000000002,Hunter,33,Charlotte,,
4,87,62,2,5.99,11.98,Hunter,33,Charlotte,,
5,134,108,2,29.99,59.98,Nora,24,Charlotte,,
5,134,138,5,8.99,44.95,Nora,24,Charlotte,,
5,134,157,2,19.99,39.98,Nora,24,Charlotte,,
5,134,8,3,89.99,269.97,Nora,24,Charlotte,Dior J'adore,fragrances
5,134,80,5,1399.99,6999.95,Nora,24,Charlotte,Huawei Matebook X Pro,laptops
5,134,28,3,5.49,16.47,Nora,24,Charlotte,,
6,150,172,5,49.99,249.95,Stella,39,San Diego,,
6,150,112,3,499.99,1499.97,Stella,39,San Diego,TV Studio Camera Pedestal,mobile-accessories
6,150,97,3,10999.99,32999.97,Stella,39,San Diego,Rolex Datejust,mens-watches
6,150,128,3,149.99,449.97,Stella,39,San Diego,Realme C35,smartphones
7,86,167,5,28999.99,144999.95,Nora,26,San Jose,300 Touring,vehicle
7,86,111,4,12.99,51.96,Nora,26,San Jose,,
7,86,129,2,299.99,599.98,Nora,26,San Jose,Realme X,smartphones
8,23,117,2,7499.99,14999.98,Chloe,39,Dallas,Sportbike Motorcycle,motorcycle
8,23,18,4,8.99,35.96,Chloe,39,Dallas,,
8,23,105,5,99.99,499.95,Chloe,39,Dallas,Apple MagSafe Battery Pack,mobile-accessories
8,23,6,3,49.99,149.97,Chloe,39,Dallas,,
9,194,178,2,89.99,179.98,Brayden,45,Austin,Corset Leather With Skirt,womens-dresses
9,194,191,4,15999.99,63999.96,Brayden,45,Austin,Rolex Cellini Moonphase,womens-watches
9,194,47,2,49.99,99.98,Brayden,45,Austin,,
9,194,134,5,249.99,1249.95,Brayden,45,Austin,Vivo S1,smartphones
10,160,190,5,4999.99,24999.95,Claire,29,San Jose,IWC Ingenieur Automatic Steel,womens-watches
10,160,94,3,1499.99,4499.97,Claire,29,San Jose,Longines Master Collection,mens-watches
11,172,88,1,149.99,149.99,Ariana,36,Chicago,Nike Air Jordan 1 Red And Black,mens-shoes
11,172,32,3,3.49,10.47,Ariana,36,Chicago,,
